Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2008-12-24T00:00:00.0/2008-12-25T00:00:00.0;11811.1465;9579.9238;8654.7979;925.1261;12316.3955;4897.501;896.8291;4000.6719;1044.3741;0.9819
2008-12-25T00:00:00.0/2008-12-26T00:00:00.0;11810.8711;9640.5068;8847.793;792.7134;12716.7324;5324.8442;1390.5538;3934.2905;1699.499;0.9819
2008-12-26T00:00:00.0/2008-12-27T00:00:00.0;11810.165;9725.6064;8957.5059;768.1005;12824.5908;5444.6455;1585.9921;3858.6533;1782.0813;0.9823
2008-12-27T00:00:00.0/2008-12-28T00:00:00.0;11808.9922;9616.7812;8293.6572;1323.1237;11655.5273;7313.583;3285.7578;4027.8252;4338.2207;0.9819
2008-12-28T00:00:00.0/2008-12-29T00:00:00.0;11807.3311;9530.042;8153.5581;1376.4838;11459.9375;5663.8477;2325.1707;3338.6768;2562.8022;0.9823
2008-12-29T00:00:00.0/2008-12-30T00:00:00.0;11805.1914;9622.9707;8895.2451;727.7262;12809.3018;4451.2847;2106.5115;2344.7732;2165.8855;0.9819
2008-12-30T00:00:00.0/2008-12-31T00:00:00.0;11802.5195;9646.4062;8884.7305;761.6752;12725.8945;3845.9175;379.5817;3466.3359;425.1281;0.9826
2008-12-31T00:00:00.0/2009-01-01T00:00:00.0;11799.4131;9542.25;8420.9355;1121.3153;11932.292;4924.6245;1372.4724;3552.1521;1843.7557;0.9826
2009-01-01T00:00:00.0/2009-01-02T00:00:00.0;11795.8047;9589.8008;8705.1152;884.6862;12323.1367;5153.3193;1111.7311;4041.5884;1264.6191;0.9826
2009-01-02T00:00:00.0/2009-01-03T00:00:00.0;11791.707;9568.4639;8357.0557;1211.4091;11779.3818;6955.3838;3448.2576;3507.1262;4523.9204;0.9826
2009-01-03T00:00:00.0/2009-01-04T00:00:00.0;11787.0723;9682.2119;8867.9131;814.2983;12699.7715;5425.1187;1701.6642;3723.4543;1803.9441;0.983
2009-01-04T00:00:00.0/2009-01-05T00:00:00.0;11781.9189;9712.5586;8842.8584;869.7004;12587.54;4951.4878;1494.8695;3456.6184;1557.8258;0.9833
2009-01-05T00:00:00.0/2009-01-06T00:00:00.0;11776.3555;9628.7842;8451.0947;1177.6896;11854.1318;6676.8613;3073.0376;3603.824;4364.999;0.9833
2009-01-06T00:00:00.0/2009-01-07T00:00:00.0;11770.1973;9527.542;7861.7832;1665.7585;10990.1523;5264.125;985.263;4278.8623;1176.7776;0.9104
2009-01-07T00:00:00.0/2009-01-08T00:00:00.0;11763.5156;9701.9883;8786.9414;915.0469;12628.1045;4549.2837;933.5307;3615.7529;1178.7822;0.9837
2009-01-08T00:00:00.0/2009-01-09T00:00:00.0;11756.3467;9797.7266;9027.1191;770.6066;12936.6494;6571.248;2707.3564;3863.8918;3135.7827;0.9837
2009-01-09T00:00:00.0/2009-01-10T00:00:00.0;11748.6182;9737.4922;8825.4912;912.0011;12635.4658;6383.3335;2635.8855;3747.448;3556.0149;0.984
2009-01-10T00:00:00.0/2009-01-11T00:00:00.0;11740.3467;9725.9756;8775.7988;950.1766;12549.8213;7532.5767;4563.3042;2969.2722;5889.9878;0.9844
2009-01-11T00:00:00.0/2009-01-12T00:00:00.0;11731.5742;9622.2676;8530.666;1091.6017;12095.0576;6885.5474;4568.5464;2317.0012;5058.1523;0.9844
2009-01-12T00:00:00.0/2009-01-13T00:00:00.0;11722.2803;9700.3994;8780.3037;920.0955;12532.0137;7338.0249;4940.7056;2397.3193;5891.146;0.9844
