Obs;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2019-12-01T00:00:00.0/2020-01-01T00:00:00.0;365099.3125;264852.7812;223625.7031;41227.0898;309492.6875;190675.0781;111047.2891;79627.7891;153270.4375;0.9764
2020-01-01T00:00:00.0/2020-02-01T00:00:00.0;361674.2812;258580.2969;210602.5469;47977.7578;287736;196810.8438;113127.5703;83683.2812;153786.0781;0.9776
2020-02-01T00:00:00.0/2020-03-01T00:00:00.0;320239.5625;227479;182962.6719;44516.3398;251954.3906;158828.8594;82842.2031;75986.6562;114082.8984;0.9698
2020-03-01T00:00:00.0/2020-04-01T00:00:00.0;305838.5;218363.5781;178297.2344;40066.3477;259370.0625;175426.2344;114972.1953;60454.0312;167620.9375;0.9737
2020-04-01T00:00:00.0/2020-05-01T00:00:00.0;250573.4375;181878.6094;152756.375;29122.2324;247532.0781;140180.0781;90263.0859;49916.9883;148495.7969;0.9817
2020-05-01T00:00:00.0/2020-06-01T00:00:00.0;217492.9062;158167.9062;131640.2344;26527.6699;240672.6406;122435.3125;89666.6484;32768.6641;164198.7969;0.9826
2020-06-01T00:00:00.0/2020-07-01T00:00:00.0;191071.2031;135453.7969;109935.3438;25518.4629;211165;84124.1484;50217.1172;33907.0312;92924.6328;0.9847
2020-07-01T00:00:00.0/2020-08-01T00:00:00.0;206931.8281;147746.7344;119063.3438;28683.3848;220148.1094;106264.7344;70602.0312;35662.7031;129027.4141;0.982
2020-08-01T00:00:00.0/2020-09-01T00:00:00.0;241747.3125;167182.1406;125247.8359;41934.3047;204970.0156;139434.625;89364.0391;50070.5938;147157.2031;0.9823
2020-09-01T00:00:00.0/2020-10-01T00:00:00.0;277667.125;178455.2812;116213.5625;62241.7188;166600.6562;137460.8906;66514.4219;70946.4609;95134.7969;0.9771
2020-10-01T00:00:00.0/2020-11-01T00:00:00.0;327697.7188;215908.4531;148848.375;67060.0703;201305.6094;179955.7812;99801.0156;80154.7656;134639.75;0.9689
2020-11-01T00:00:00.0/2020-12-01T00:00:00.0;342969.8125;237898.3281;181390.7812;56507.5547;246232.7812;187724.5156;113339.0938;74385.4219;151927.3125;0.9662
2020-12-01T00:00:00.0/2021-01-01T00:00:00.0;365192.9375;264349.9688;221375.8594;42974.1172;305050.0938;197283.5625;120594.3594;76689.2109;166470.8281;0.9744
2021-01-01T00:00:00.0/2021-02-01T00:00:00.0;361394.5312;259702.5938;209948.2812;49754.3047;287653.6562;192962.875;110931.1406;82031.7344;150545.1719;0.9803
2021-02-01T00:00:00.0/2021-03-01T00:00:00.0;309022.375;221250.8594;174995.625;46255.2266;241035.9531;168467.125;97679.8047;70787.3203;138184.7812;0.9824
2021-03-01T00:00:00.0/2021-04-01T00:00:00.0;306191.6562;219441.4375;176628.3906;42813.0469;256560.1406;153243.3438;81840.7969;71402.5469;121777.5078;0.9821
2021-04-01T00:00:00.0/2021-05-01T00:00:00.0;250938.8906;178381.0469;142571.5469;35809.5;228004.8125;121280.6797;68279.1016;53001.582;114025.6328;0.9839
2021-05-01T00:00:00.0/2021-06-01T00:00:00.0;217755.7188;154596.625;120885.8516;33710.7734;216793.9062;100599.7344;55479.5703;45120.168;97271.2891;0.9832
2021-06-01T00:00:00.0/2021-07-01T00:00:00.0;191112.25;136093.3125;105771.4844;30321.8242;202611;77106.4141;41583.6562;35522.7539;80286.7031;0.9831
2021-07-01T00:00:00.0/2021-08-01T00:00:00.0;206742.0312;148856.1406;118136.5234;30719.6152;218701.6562;120579.8203;79425.0078;41154.8164;146361.1875;0.9838
2021-08-01T00:00:00.0/2021-09-01T00:00:00.0;241407.9062;169408.4062;124450.6953;44957.7148;203446.4844;138750.3281;87206.2109;51544.1133;142279.4062;0.9838
2021-09-01T00:00:00.0/2021-10-01T00:00:00.0;277318.6562;190841.3594;137319.7344;53521.6172;200392.4531;140610.9375;67057.1094;73553.8359;97521.7734;0.985
2021-10-01T00:00:00.0/2021-11-01T00:00:00.0;327421.5625;234289.1406;185065.3594;49223.7852;255283.875;177470.5156;108237.9844;69232.5234;143782.7344;0.984
2021-11-01T00:00:00.0/2021-12-01T00:00:00.0;342826.8125;246711.0938;201836.7188;44874.3711;276773.8438;167923.8594;85962.4922;81961.375;115928.6641;0.9836
2021-12-01T00:00:00.0/2022-01-01T00:00:00.0;365164.4375;259620.9844;206444.625;53176.3594;280539.0312;193637.4219;106251.6016;87385.8281;139278.2188;0.9824
2022-01-01T00:00:00.0/2022-02-01T00:00:00.0;361488.375;257632.6406;203952.5312;53680.1055;278047.5312;223557.0625;147965.4531;75591.6094;199511.3906;0.9822
2022-02-01T00:00:00.0/2022-03-01T00:00:00.0;309233.9688;217486;164981.2344;52504.7656;225928.7656;172791.6562;101301.0391;71490.625;139492.4062;0.9825
2022-03-01T00:00:00.0/2022-04-01T00:00:00.0;306543.875;221852.4844;181808.3594;40044.1289;265515.625;164332.2188;103893.6172;60438.6016;151311.0312;0.9834
2022-04-01T00:00:00.0/2022-05-01T00:00:00.0;251299.9531;179566.9062;143546.7969;36020.1172;230187.3594;119436.1016;70181.0625;49255.043;110946.2031;0.985
2022-05-01T00:00:00.0/2022-06-01T00:00:00.0;218013.1406;156581.0312;124242.5156;32338.5098;222795.4375;101464.0078;64036.8164;37427.1875;111934.4844;0.9838
2022-06-01T00:00:00.0/2022-07-01T00:00:00.0;191154.4062;137245.5469;108927.2344;28318.3105;208373.3906;95529.4766;58300.3672;37229.1055;111195.0312;0.985
2022-07-01T00:00:00.0/2022-08-01T00:00:00.0;206560.5469;146131.4062;115247.5625;30883.8496;212578.3438;103028.5781;57172.957;45855.625;101693.1094;0.9833
2022-08-01T00:00:00.0/2022-09-01T00:00:00.0;241077.6719;173216.9844;136495.9844;36721.0039;227240.9219;144035.9531;97494.3594;46541.5898;161600.25;0.9837
2022-09-01T00:00:00.0/2022-10-01T00:00:00.0;276974.0625;198594.8281;151770.5938;46824.2344;224325.4688;154568.0312;89836.8594;64731.1758;129008.0391;0.985
